name,unique_concert_count,hyperlink
Abhi The Nomad,0,https://www.songkick.com/artists/9350584-abhi-the-nomad/calendar
Diplo,15,https://www.songkick.com/artists/547556-diplo/calendar
David Maxim Micic,0,https://www.songkick.com/artists/8967329-david-maxim-micic/calendar
Ark Patrol,0,https://www.songkick.com/artists/8531119-ark-patrol/calendar
Damon Albarn,0,https://www.songkick.com/artists/205139-damon-albarn/calendar
Ariana Grande,0,https://www.songkick.com/artists/4971683-ariana-grande/calendar
Dave Mackay,0,https://www.songkick.com/artists/620036-dave-mackay/calendar
"Choir Of King's College, Cambridge",0,https://www.songkick.com/artists/20981-choir-of-kings-college-cambridge/calendar
A Perfect Circle,0,https://www.songkick.com/artists/549892-a-perfect-circle/calendar
Aries,0,https://www.songkick.com/artists/38372-aries/calendar
ABBA,1,https://www.songkick.com/artists/124886-abba/calendar
Bee Gees,0,https://www.songkick.com/artists/559783-bee-gees/calendar
Charlie Curtis-Beard,0,https://www.songkick.com/artists/9286299-charlie-curtisbeard/calendar
Disturbed,50,https://www.songkick.com/artists/455175-disturbed/calendar
Dream Theater,0,https://www.songkick.com/artists/8765-dream-theater/calendar
Dan Mayo,0,https://www.songkick.com/artists/8960304-dan-mayo/calendar
CORPSE,0,https://www.songkick.com/artists/138044-corpse/calendar
Billy Preston,0,https://www.songkick.com/artists/150072-billy-preston/calendar
Disclosure,0,https://www.songkick.com/artists/771160-disclosure/calendar
Darren Korb,0,https://www.songkick.com/artists/7116259-darren-korb/calendar
Dave Koz,16,https://www.songkick.com/artists/428987-dave-koz/calendar
Coubo,0,https://www.songkick.com/artists/10062284-coubo/calendar
Animals As Leaders,16,https://www.songkick.com/artists/2426656-animals-as-leaders/calendar
Bruno Mars,8,https://www.songkick.com/artists/941964-bruno-mars/calendar
AJR,4,https://www.songkick.com/artists/1880688-ajr/calendar
Billie Eilish,13,https://www.songkick.com/artists/8913479-billie-eilish/calendar
Bill Laurance,0,https://www.songkick.com/artists/8266768-bill-laurance/calendar
Arch Echo,28,https://www.songkick.com/artists/3700631-arch-echo/calendar
Bitter Ruin,0,https://www.songkick.com/artists/1012875-bitter-ruin/calendar
Dua Lipa,0,https://www.songkick.com/artists/8310783-dua-lipa/calendar
Bo Burnham,0,https://www.songkick.com/artists/1090574-bo-burnham/calendar
Antônio Carlos Jobim,0,https://www.songkick.com/artists/15356-antonio-carlos-jobim/calendar
Austin Wintory,0,https://www.songkick.com/artists/7400014-austin-wintory/calendar
Billy Cobham,7,https://www.songkick.com/artists/446916-billy-cobham/calendar
Craig Xen,0,https://www.songkick.com/artists/8993909-craig-xen/calendar
Christian French,0,https://www.songkick.com/artists/9568369-christian-french/calendar
Avenged Sevenfold,6,https://www.songkick.com/artists/425252-avenged-sevenfold/calendar
Cory Wong,25,https://www.songkick.com/artists/2908766-cory-wong/calendar
Electric Mantis,0,https://www.songkick.com/artists/8684779-electric-mantis/calendar
Echosmith,1,https://www.songkick.com/artists/6088614-echosmith/calendar
Anomalie,2,https://www.songkick.com/artists/1679379-anomalie/calendar
Good Charlotte,1,https://www.songkick.com/artists/520231-good-charlotte/calendar
Danae Greenfield,0,https://www.songkick.com/artists/10149786-danae-greenfield/calendar
Anika Nilles,1,https://www.songkick.com/artists/10106780-anika-nilles/calendar
Ed Sheeran,31,https://www.songkick.com/artists/2083334-ed-sheeran/calendar
5 Seconds of Summer,2,https://www.songkick.com/artists/5642214-5-seconds-of-summer/calendar
DOMi & JD BECK,24,https://www.songkick.com/artists/10140024-domi-and-jd-beck/calendar
Breaking Benjamin,42,https://www.songkick.com/artists/99074-breaking-benjamin/calendar
Fergie,0,https://www.songkick.com/artists/315579-fergie/calendar
Fort Minor,0,https://www.songkick.com/artists/455951-fort-minor/calendar
Hans Zimmer,26,https://www.songkick.com/artists/251898-hans-zimmer/calendar
Haken,30,https://www.songkick.com/artists/625989-haken/calendar
Harry Styles,34,https://www.songkick.com/artists/5820634-harry-styles/calendar
Bring Me The Horizon,32,https://www.songkick.com/artists/347077-bring-me-the-horizon/calendar
Demi Lovato,2,https://www.songkick.com/artists/976211-demi-lovato/calendar
Fall Out Boy,49,https://www.songkick.com/artists/315398-fall-out-boy/calendar
Eagles of Death Metal,9,https://www.songkick.com/artists/527957-eagles-of-death-metal/calendar
Foo Fighters,16,https://www.songkick.com/artists/29315-foo-fighters/calendar
Hiatus Kaiyote,11,https://www.songkick.com/artists/4737378-hiatus-kaiyote/calendar
H.E.R.,9,https://www.songkick.com/artists/9072494-her-us/calendar
Flyleaf,0,https://www.songkick.com/artists/346190-flyleaf/calendar
James Ehnes,1,https://www.songkick.com/artists/393950-james-ehnes/calendar
Jack Garratt,7,https://www.songkick.com/artists/937546-jack-garratt/calendar
Jerry Folk,0,https://www.songkick.com/artists/8404938-jerry-folk/calendar
Axwell & Ingrosso,1,https://www.songkick.com/artists/278452-axwell/calendar
Gramatik,1,https://www.songkick.com/artists/1594652-gramatik/calendar
Infected Mushroom,5,https://www.songkick.com/artists/153795-infected-mushroom/calendar
Justice,0,https://www.songkick.com/artists/301499-justice/calendar
LV,0,https://www.songkick.com/artists/5417-lv/calendar
Jacob Collier,17,https://www.songkick.com/artists/6775909-jacob-collier/calendar
Haywyre,0,https://www.songkick.com/artists/589119-haywyre/calendar
Joey Alexander,13,https://www.songkick.com/artists/7259094-joey-alexander/calendar
Major Parkinson,0,https://www.songkick.com/artists/486030-major-parkinson/calendar
Lackmus,0,https://www.songkick.com/artists/9971064-lackmus/calendar
Laura Mvula,0,https://www.songkick.com/artists/6126864-laura-mvula/calendar
Mac Ayres,27,https://www.songkick.com/artists/9044599-mac-ayres/calendar
Hollywood Undead,7,https://www.songkick.com/artists/818463-hollywood-undead/calendar
Lamb Of God,24,https://www.songkick.com/artists/127504-lamb-of-god/calendar
Korn,4,https://www.songkick.com/artists/202975-korn/calendar
Louis Cole,18,https://www.songkick.com/artists/1453171-louis-cole/calendar
Ichika,0,https://www.songkick.com/artists/10096064-ichika/calendar
Marianas Trench,1,https://www.songkick.com/artists/96444-marianas-trench/calendar
Headspace,0,https://www.songkick.com/artists/494193-headspace/calendar
Julio Bashmore,0,https://www.songkick.com/artists/2990466-julio-bashmore/calendar
